id,userId,subjectId,xp,createdAt
cmpv2kqrm0003eg50ins5f0dz,cmpv0kexk0000eg50jcrsrdpn,cmppln7yz0000h2qd7k606fa0,0,2026-06-01 10:32:27.008
cmpw9mzrp00019um6u535afmv,cmppk2lzl0000p4xefk5iktc1,cmppln7yz0000h2qd7k606fa0,0,2026-06-02 06:37:55.476
cmpryca2000026l6vhynv6q1z,cmprybr8900006l6veu2zxyjc,cmppln7yz0000h2qd7k606fa0,325,2026-05-30 06:10:35.112
cmpxqp8b40002njhjbrir5p5s,cmpxqouj60000njhjd96qr1sp,cmppln7yz0000h2qd7k606fa0,25,2026-06-03 07:23:19.504
cmpplpjdb0005h2qde7hobhcb,cmppk8ht40003p4xeby2or5rh,cmppln7yz0000h2qd7k606fa0,300,2026-05-28 14:41:26.351
