id,userId,moduleId,completedSubtopics,completed,updatedAt,completedResources
cmps4mml30007khvpirmejzml,cmppk8ht40003p4xeby2or5rh,cmpplqlq40007h2qdsqpwwb6s,{},f,2026-06-03 08:17:30.575,"{cmppr7rif0001smq6mnae7vzt-simulation,cmpplqlq40008h2qd07h4ks2u-simulation,cmpplqlq40008h2qd07h4ks2u-notes}"
cmppnodqc0001ogf8q0lcegdy,cmppk8ht40003p4xeby2or5rh,cmpplod0h0002h2qdk9xzhrp6,{cmpplod0h0003h2qdpvzpv0yt},t,2026-06-03 08:29:22.748,"{cmppr9ani0003smq6jvcfvdtu-simulation,cmppr9ani0003smq6jvcfvdtu-sandbox_completed,cmpplod0h0003h2qdpvzpv0yt-notes,cmpplod0h0003h2qdpvzpv0yt-simulation,cmpplod0h0003h2qdpvzpv0yt-quiz,cmppr9ani0003smq6jvcfvdtu-quiz,cmppr9ani0003smq6jvcfvdtu-flashcards,cmppr9ani0003smq6jvcfvdtu-audio,cmpplod0h0003h2qdpvzpv0yt-flashcards}"
cmpryck1o00046l6v1qj68znj,cmprybr8900006l6veu2zxyjc,cmpplod0h0002h2qdk9xzhrp6,{},f,2026-06-03 05:55:55.538,"{cmpplod0h0003h2qdpvzpv0yt-simulation,cmpplod0h0003h2qdpvzpv0yt-quiz,cmpplod0h0003h2qdpvzpv0yt-notes,cmppr9ani0003smq6jvcfvdtu-notes,cmppr9ani0004smq6wyerk4zx-notes}"
cmps437y0000g6l6v2uy80dpp,cmprybr8900006l6veu2zxyjc,cmpplqlq40007h2qdsqpwwb6s,{},f,2026-06-03 06:39:39.813,"{cmpplqlq40008h2qd07h4ks2u-notes,cmppr7rif0000smq67uy75lqr-notes,cmppr7rif0001smq6mnae7vzt-notes,cmppr7rif0002smq6z1c645n6-notes,cmppr7rif0001smq6mnae7vzt-simulation,cmppr7rif0000smq67uy75lqr-simulation,cmpplqlq40008h2qd07h4ks2u-simulation,cmppr7rif0000smq67uy75lqr-quiz}"
cmpxqrlyh0004njhj8nojtj5n,cmpxqouj60000njhjd96qr1sp,cmpplod0h0002h2qdk9xzhrp6,{},f,2026-06-03 07:25:10.504,{cmpplod0h0003h2qdpvzpv0yt-simulation}
