id,moduleNo,title,hours,co,description,subjectId
cmpplod0h0002h2qdk9xzhrp6,1,Understanding User,6,CO1,Fundamentals of human characteristics and usability in design.,cmppln7yz0000h2qd7k606fa0
cmpplqlq40007h2qdsqpwwb6s,2,Principles of Good Screen Design,7,CO2,Information architecture and effective screen layout patterns,cmppln7yz0000h2qd7k606fa0
cmpprbkvb0006smq6prl6zpa3,3,Web Interface Design,16,C03,Advanced in-page editing and contextual web patterns.,cmppln7yz0000h2qd7k606fa0
cmpprf4uq000csmq6xv4jxewu,4,Interface Design for Data Handling,6,C04,"Patterns for forms, data graphics, and social content.",cmppln7yz0000h2qd7k606fa0
cmpprh73q000ismq69sctmnjk,5,Pattern with mobile interface design,7,C05,Mobile-specific UI patterns and navigation.,cmppln7yz0000h2qd7k606fa0
